,IC objective incomplete beta
0,-1.1002750673353847e-07
1,-3.240537563501782e-08
2,-5.809309063666147e-09
3,-1.3435750628620028e-07
4,-8.682130031338546e-07
5,-0.02062102695115246
6,-9.999654102099435e-09
7,-1.6399916844100687e-07
8,-5.16304633046618e-09
9,-1.2431843964692588e-08
10,-1.3172244854588834e-08
11,-1.1657468415639353e-08
12,-3.41864270870069e-08
13,-1.5501086299867465e-07
14,-0.03080207333160373
15,-4.173181675106205e-08
16,-4.2471792297089105e-09
17,-2.2234494878211394e-08
18,-1.4905160326275647e-07
19,-0.02310225285145973
20,-2.604000835159514e-08
21,-2.151620749984721e-08
22,-0.028401384829166616
23,-8.607396050944826e-09
24,-4.88072244248059e-08
25,-7.617187147156628e-07
26,-1.275378661124325e-08
27,-0.012665902904777494
28,-2.2032105641279736e-08
29,-4.525261628011007e-07
30,-1.2199623002686185e-08
31,-7.818142069112753e-08
32,-6.149432249256135e-09
33,-1.8957297551160558e-08
34,-1.0432947851274176e-08
35,-2.000191302611526e-07
36,-2.3312386796635147e-07
37,-5.1983352391668024e-08
38,-7.406709486835228e-08
39,-4.425898266117263e-08
40,-9.970785807122487e-08
41,-1.4565783393713298e-08
42,-3.022493501830092e-09
43,-5.3540754669305586e-08
44,-3.207371860223758e-08
45,-0.02960055271553151
46,-3.001864992875017e-07
47,-1.1365727874776044e-08
48,-2.0400665987269758e-08
49,-2.2302095301472837e-09
50,-8.734449410215095e-09
51,-9.508692978511987e-08
52,-2.078449535182123e-08
53,-0.019233396696841303
54,-0.023214468308665755
55,-4.3846258812103887e-08
56,-4.956969597768402e-08
57,-2.474381557641139e-07
58,-1.2684783108615552e-08
59,-1.2462063126727997e-08
60,-0.027167784398725643
61,-2.0737430376573164e-08
62,-2.3260291400165265e-07
63,-0.029075597473097993
64,-9.28254323064471e-09
65,-1.9091975090578032e-08
66,-2.4148975440032903e-07
67,-2.0230480180784777e-08
68,-8.397729797908166e-06
69,-6.6036067077572935e-09
70,-2.139547409387797e-08
71,-2.051195696468307e-08
72,-3.8549909545279516e-08
73,-1.435927542507574e-07
74,-0.010522723170169482
75,-5.6559443582112656e-08
76,-4.302296836686563e-07
77,-1.1672501577676733e-08
78,-4.99499688339911e-07
79,-2.6653585398411935e-07
80,-3.422418210035076e-09
81,-2.3704836352304846e-08
82,-2.054968618157949e-08
83,-2.476055121235713e-08
84,-1.5882658353771388e-08
85,-1.0158323353314525e-08
86,-8.302241045255206e-09
87,-0.012922272159439908
88,-0.01702038982790799
89,-0.024362880663762625
90,-1.2379173990758035e-06
91,-1.2874771833301954e-07
92,-0.013068266747370433
93,-1.5295765911516397e-07
94,-0.019349203850910247
95,-1.0661341537059849e-08
96,-0.029924072870082547
97,-6.815525722248841e-08
98,-2.2417257822139184e-07
99,-0.023752408300095593
100,-3.7669950575033174e-08
101,-7.713313440445226e-07
102,-3.219005439641028e-09
103,-5.960581730928439e-08
104,-5.848060211607969e-09
105,-2.2929267028500346e-07
106,-0.030267636530712818
107,-4.091748814270145e-08
108,-1.3244154487928274e-06
109,-2.380750421391295e-08
110,-4.256441820549463e-08
111,-1.4009523997434203e-07
112,-1.2981229501114794e-08
113,-2.89948379715965e-09
114,-3.1139620223281635e-08
115,-1.8342210720174977e-08
116,-3.1163551232062225e-08
117,-0.0005049546449378572
118,-2.3379238712743746e-07
119,-1.3413255741379352e-07
120,-0.01599798129551757
121,-1.0652476106508594e-08
122,-4.436490917935751e-08
123,-0.010616608641632008
124,-6.249866853933356e-08
125,-2.8950946056270213e-08
126,-3.0465686037503995e-07
127,-0.00014122507927408112
128,-9.698767582504104e-09
129,-1.3173309421867302e-07
130,-7.70448187278285e-09
131,-2.0175473483732138e-07
132,-1.8204200104443268e-08
133,-0.0192721491174664
134,-2.9492139686176796e-08
135,-9.324575233003475e-08
136,-4.762241789214375e-09
137,-1.1793324616972745e-08
138,-7.727155988586948e-09
139,-5.531777230720664e-09
140,-1.3895016293084016e-09
141,-6.166532988241365e-09
142,-1.5336862418129868e-07
143,-4.90059197623946e-07
144,-1.890107464604431e-08
145,-1.9735288700709395e-08
146,-0.014731407993477672
147,-0.028730737465647475
148,-1.0151407238433607e-07
149,-0.019822514010275183
150,-1.1748881188159452e-08
151,-0.012621764385839776
152,-0.016091736775235663
153,-0.02273006312730528
154,-1.0065600123500037e-07
155,-0.027252702843936983
156,-7.94942255166568e-09
157,-4.203200963940164e-08
158,-9.73548216473785e-09
159,-1.398810693348809e-07
160,-4.792953752316003e-08
161,-0.014897780260604843
162,-1.2043935337152868e-08
163,-4.301522140546519e-08
164,-0.014241149037968939
165,-1.385312046695107e-08
166,-3.266263466611895e-08
167,-3.1210427698616614e-09
168,-1.3380250166432952e-07
169,-1.8927122315222898e-08
170,-9.860614341312113e-08
171,-5.770604216743338e-08
172,-2.5243886929862242e-08
173,-4.172389925921728e-07
174,-1.6073964374580764e-07
175,-8.251438527151013e-08
176,-1.0008360183385818e-07
177,-5.983088242636961e-08
178,-0.02733246721661685
179,-1.0805567398861979e-08
180,-2.016003990680561e-08
181,-2.3604100247386722e-08
182,-3.0680542869203345e-09
183,-1.7567327236458256e-08
184,-0.027500219059150906
185,-1.229184541339104e-08
186,-1.955856004954369e-08
187,-0.011057352394540518
188,-1.0469253792443685e-06
189,-5.9816372225119185e-09
190,-0.028600021191265472
191,-1.4863607829398117e-08
192,-1.5917591058834213e-08
193,-2.39119794030122e-08
194,-1.9810270167078775e-09
195,-3.8138639086878306e-08
196,-1.926994295796217e-08
197,-4.107287382478697e-09
198,-9.730795523572085e-09
199,-1.1688493602688259e-07
200,-2.402766512837043e-09
201,-1.2507564240848654e-08
202,-4.305611830760509e-08
203,-0.01157235772637511
204,-5.411974222041629e-07
205,-8.015493136065359e-09
206,-1.2425073083300525e-09
207,-4.375572487770429e-08
208,-4.36119707592416e-08
209,-2.0051082919165315e-07
210,-0.029123703743880375
211,-1.0797186480081645e-08
212,-1.2671970312333403e-07
213,-6.635553014610261e-09
214,-5.706318858685019e-08
215,-2.2630283908098453e-06
216,-0.016995292461617597
217,-1.611953556189508e-08
218,-1.649829205181482e-07
219,-5.544020665323728e-08
220,-3.527042476120544e-07
221,-1.3184688067418678e-08
222,-3.916915334127054e-08
223,-2.0135736833403377e-08
224,-8.450676783492013e-09
225,-5.959177048693443e-08
226,-4.396767903927772e-08
227,-1.1207736516813704e-07
228,-5.517850687013962e-07
229,-0.02960109711268511
230,-3.137421670717351e-09
231,-0.025039800086902535
232,-2.1409224325631866e-08
233,-4.244704290921271e-08
234,-5.451144971432964e-07
235,-5.021203735132809e-07
236,-8.049975621544716e-09
237,-2.923787631463612e-08
238,-6.331337572341425e-09
239,-3.527273430016626e-07
240,-0.010584938319704857
241,-8.281070050683347e-07
242,-1.2522568672529963e-08
243,-0.019987393671895854
244,-2.1715637237921252e-08
245,-0.028395834561327327
246,-0.02547499379819362
247,-9.368091433199253e-08
248,-6.469868510171632e-08
249,-2.300933316533617e-09
250,-1.0080369896426899e-07
251,-2.3921283687420005e-08
252,-4.607208373751437e-08
253,-0.026021495564026043
254,-0.008695979690158263
255,-0.008938878902649739
256,-0.028431615201025936
257,-9.716834286695555e-09
258,-4.8680269199931036e-08
259,-2.6576418166396552e-08
260,-0.022018728785899496
261,-5.610664881187012e-07
262,-3.723728187356042e-08
263,-0.024232716652893956
264,-0.028571494653330122
265,-9.879701913641817e-08
266,-2.939047215159898e-08
267,-1.4214162569080838e-07
268,-5.54291199324264e-07
269,-3.5249960393544545e-08
270,-4.4588526246169206e-08
271,-3.587509615761827e-08
272,-0.023116181596807086
273,-0.01930118628607781
274,-7.481928417775423e-08
275,-2.2625786616409928e-08
276,-6.0531857589982115e-09
277,-0.017007894418816182
278,-2.1469337944548145e-08
279,-5.378082433288209e-08
280,-3.460266606495364e-08
281,-1.8962584848925893e-08
282,-3.6523421499113655e-08
283,-2.8174178462865758e-08
284,-4.1967403326970684e-09
285,-1.2353125649074074e-06
286,-7.0654591812736e-09
287,-0.022783259408545635
288,-1.2057494020701615e-09
289,-1.1991017200829131e-08
290,-1.0372962837233568e-08
291,-1.5715046233927915e-08
292,-2.956261711951784e-08
293,-9.962410512188052e-07
294,-4.353489163800471e-09
295,-6.000387849153828e-08
296,-0.020597544495230324
297,-1.4052375055863182e-07
298,-0.010252204560736635
299,-0.027160771804663975
300,-1.9384810441508033e-08
301,-1.4743693285177548e-08
302,-2.6389984719229203e-08
303,-2.436435635773496e-07
304,-4.3933820058135045e-08
305,-1.7730353014098623e-08
306,-0.005787200988871822
307,-0.019223234426088916
308,-2.668689909809945e-07
309,-9.694579229887443e-07
310,-2.8350396864725874e-08
311,-4.7781436054558705e-08
312,-8.171981999598198e-08
313,-1.4086159882865983e-07
314,-0.028424936608838776
315,-1.4658018238349904e-07
316,-1.2755054954049078e-07
317,-3.3583758431443174e-08
318,-2.857359151263005e-08
319,-2.635119010455057e-07
320,-0.00866752734547975
321,-6.30960640199165e-09
322,-6.409771011012297e-08
323,-3.824496588919387e-08
324,-2.0359204280165977e-08
325,-4.702070589148774e-08
326,-1.6295006613935205e-07
327,-3.942966852228898e-09
328,-2.159656654019363e-08
329,-3.1865456712331555e-08
330,-2.0731203146707867e-07
331,-2.995844759761955e-08
332,-2.2938128847193343e-07
333,-1.6822361059219387e-07
334,-1.2063613435743108e-08
335,-4.052132888812404e-09
336,-0.025144110563344077
337,-3.95669950258537e-10
338,-0.03017601097092001
339,-0.0035623951294207414
340,-1.3763009151012002e-08
341,-1.0397424034831919e-08
342,-3.3497035493929993e-07
343,-1.2973836576226361e-08
344,-2.640882023478766e-08
345,-8.645228655362779e-09
346,-6.380736306605626e-08
347,-1.7593971821557744e-07
348,-1.4359236153064943e-07
349,-1.8205038087514014e-07
350,-1.8903515802351575e-08
351,-2.1132249832139087e-07
352,-6.263222255768469e-08
353,-0.02486704455499444
354,-2.743033779442049e-07
355,-1.6911392129740326e-06
356,-2.471996911321374e-08
357,-1.7171042465726166e-08
358,-5.765829487300168e-09
