,IC objective incomplete uniform
367,-0.011605628721569639
368,-0.008548851440927483
369,-0.0037592686663300806
370,-0.01148024795536815
371,-8.350629267072917e-07
372,-0.0024617145737852062
373,-0.013355852852853707
374,-3.024122396708994e-08
375,-0.019153503707633586
376,-0.023492030320867392
377,-2.3110871649705322e-08
378,-0.0001687626210767723
379,-0.0041197498559814305
380,-0.010785925715483946
381,-0.0059302219455011
382,-0.014771682661598583
383,-0.00874234552860023
384,-0.027395060094632866
385,-0.012243549991137165
386,-0.000955657045620274
387,-3.7342532668119097e-08
388,-0.005320088486079034
389,-3.6312514238203246e-07
390,-0.018384030990999826
391,-0.0049736333456584835
392,-0.003548874204421678
393,-8.425309743786556e-09
394,-0.0036410579083281454
395,-2.383556057608499e-07
396,-7.663306032916046e-07
397,-1.2791936519042698e-07
398,-0.025860085179081387
399,-1.3133438581437993e-08
400,-0.005936350327262473
401,-0.00176684910193723
402,-0.012820240846027661
403,-2.4350819620898945e-07
404,-0.005281872243762035
405,-0.005429317667074387
406,-0.009426940883712175
407,-7.655552195721273e-07
408,-0.003828738213555874
409,-0.02754245716778982
410,-2.0875282258334522e-07
411,-0.012089742665538947
412,-1.2741683254231899e-08
413,-3.710258632636286e-07
414,-2.7746775499661332e-08
415,-0.01239832667952381
416,-0.007427197447995209
417,-5.774790055663548e-07
418,-2.885702100112405e-07
419,-9.727236203145666e-07
420,-2.4402506328672026e-07
421,-0.0007512485783138972
422,-0.005618251294464847
423,-0.02457799138500285
424,-4.611839572027716e-09
425,-0.014980802113369085
426,-0.0051776431932186425
427,-0.024065029166335992
428,-0.027413897105822944
429,-0.008118455889324189
430,-4.3390894863879584e-09
431,-0.0025987347609710888
432,-1.9151516320946138e-06
433,-0.0022605732136488713
434,-0.0007586963638762581
435,-0.019684640569854143
436,-0.02996854557222753
437,-0.0056960063584415065
438,-0.013775432340835706
439,-7.440509660933368e-08
440,-0.016760357417823703
441,-0.01572308501414793
442,-6.116587210925452e-08
443,-0.004712564224751163
444,-3.090405811170404e-09
445,-0.009941031735372634
446,-0.005988584271874167
447,-0.0035936405927282605
448,-3.226483419709096e-09
449,-0.027306593264647877
450,-0.016028468778861042
451,-0.014448057465748116
452,-0.0028533746628121477
453,-0.0021110325878577535
454,-0.027217860081105195
455,-0.016448535368659742
456,-0.0016206752072240697
457,-5.71628553535822e-09
458,-1.0014010987131996e-06
459,-0.005757248188912216
460,-0.011242738386340234
461,-0.004745115833361028
462,-0.030684038203329742
463,-0.01297553756289778
464,-0.009423279311147965
465,-0.003687335326899146
466,-0.0011595174237159578
467,-3.6320352922718397e-09
468,-0.020008306062329825
469,-0.00916600716778473
470,-0.02519953127947181
471,-2.4309936640731705e-07
472,-0.0031797914863304854
473,-0.00718253804655743
474,-0.0070465492644298825
475,-5.9163569847869364e-08
476,-0.0059992427252158744
477,-0.008868277591500176
478,-7.707755240385157e-07
479,-0.003436547747940072
480,-0.012215563523368708
481,-6.35858337816397e-08
482,-0.02578616429945072
483,-1.2918609795701153e-08
484,-0.006234178620875831
485,-1.5329040121426116e-07
486,-0.010095250754789824
487,-0.01868640512612247
488,-0.0005296746790122822
489,-0.02251467416790597
490,-0.017993316616616125
491,-2.609099567549919e-08
492,-0.02805847725876392
493,-0.014528544009677206
494,-0.012786047901136351
495,-0.007918729671954587
496,-0.007281058890871579
497,-5.392837678266582e-08
498,-0.006696883435809624
499,-0.029686150646576103
500,-0.014276958196856258
501,-1.3482932381696443e-06
502,-2.7308516533102604e-07
503,-0.027807292439998407
504,-0.0029241795669809885
505,-0.012879536528880268
506,-0.022145578568164098
507,-0.01706743045829161
508,-0.022994269652666086
509,-0.0014650564706954426
510,-3.424846487811972e-08
511,-1.7943780083923576e-08
512,-0.009701921782349103
513,-0.008210826726867397
514,-0.015877267893402054
515,-1.314518508999227e-08
516,-1.3472587957484131e-07
517,-0.004801145106307353
518,-0.01125509964823872
519,-3.135742581666509e-08
520,-0.002189087661612878
521,-0.007605487817725979
522,-0.009378500336015531
523,-0.027597419652837563
524,-2.5507653695203424e-08
525,-0.01985954372371583
526,-2.0719090817594367e-08
527,-0.0038506530888202817
528,-0.0024826572656435
529,-0.025247982796766745
530,-0.003066767147114328
531,-0.003144805158414453
532,-1.6729088246250456e-07
533,-0.002886430055469188
534,-0.011043043721588945
535,-4.014148416405068e-08
536,-0.010956609146012628
537,-0.001965138115212042
538,-0.009842116544007183
539,-0.014938026552387617
540,-2.397006913376233e-07
541,-1.3814935604950812e-07
542,-1.201575578702652e-07
543,-0.016812509678399434
544,-0.011769285742271395
545,-0.00024448819668810857
546,-0.019773960320723215
547,-0.004674426340988559
548,-0.005773048906570218
549,-4.193165332472828e-08
550,-0.008914613034005038
551,-0.0021793967986398696
552,-2.0464468185104314e-08
553,-0.012724080320109165
554,-0.003103313315542068
555,-0.022978487303105356
556,-9.410504901312705e-08
557,-0.018822619152534057
558,-0.008591476868724891
559,-0.025032755343743475
560,-0.02517158659019007
561,-6.657532815659832e-08
562,-1.4111467214656797e-07
563,-0.0004766648257623978
564,-0.011124158551625284
565,-2.308153116416656e-06
566,-4.6898248869109737e-08
567,-5.7724327716721054e-08
568,-0.013477641930623261
569,-0.0007699558027738453
570,-1.7243659789403002e-08
571,-0.009398445674904568
572,-0.0073149740130260136
573,-0.029185087885245084
574,-2.747205287278647e-07
575,-0.0014855578575767542
576,-0.004185529095784027
577,-0.008806519586244175
578,-0.024218226825771957
579,-0.016882239561345415
580,-0.023958478037710562
581,-0.0071946372210296775
582,-4.309837779134606e-08
583,-0.015119566643679758
584,-0.00957690496519827
585,-0.018987838035150258
586,-0.019646453477994066
587,-6.526205561202441e-07
588,-0.003249775811409533
589,-0.0008994097691500909
590,-0.012547622814242505
591,-1.48712946597092e-08
592,-0.0015025096200811112
593,-9.585940572404748e-08
594,-0.006475914248181502
595,-0.000875110278871533
596,-0.024991362605571575
597,-8.755749889364868e-08
598,-6.25181933053162e-09
599,-0.010859748795347991
600,-0.006285898326150525
601,-0.02959669343905935
602,-1.354580275311936e-07
603,-0.005736941865482666
604,-9.815547172805206e-08
605,-0.0023269450303808037
606,-2.2499483993982338e-08
607,-0.014049603414876361
608,-4.627662913425684e-08
609,-0.005089606673850819
610,-0.0035099421495687066
611,-0.008820621885850397
612,-0.003976785179877242
613,-2.2731472946586681e-07
614,-0.0073999364773815815
615,-0.011208080346101063
616,-0.007721815462382474
617,-0.025117519184866856
618,-0.009175441579021691
619,-0.002085996938094914
620,-0.01994673953497855
621,-0.014992005557386948
622,-0.009590519873864856
623,-0.009938844613719841
624,-0.013603536520320304
625,-0.0027387521981790323
626,-0.0026846739157938533
627,-0.009046478211209805
628,-1.2471870494887721e-06
629,-5.483020784534668e-07
630,-0.015697098565522347
631,-0.0016350945427492714
632,-0.0027603701909501084
633,-9.224833072617534e-07
634,-3.514567627759107e-08
635,-0.0041062519432974245
636,-0.013199847671871448
637,-9.486243641922849e-08
638,-0.010116017962536092
639,-3.055560703844119e-07
640,-0.003933430023520228
641,-0.0019772474762880243
642,-0.013102662227534494
643,-0.005992949339940802
644,-1.0455303377725994e-07
645,-9.635670972929981e-08
646,-2.354401033704354e-08
647,-0.01137793409201122
648,-0.0010038813919537315
649,-0.02442332686381423
650,-1.5127400324244885e-07
651,-2.506425580136889e-09
652,-1.1808201995644704e-08
653,-0.011733086770931392
654,-1.0779419083457941e-08
655,-6.043289154998353e-08
656,-0.01520390357588465
657,-0.0054607408092563064
658,-0.0126246813314579
659,-4.129833347114353e-08
660,-0.015491528914367893
661,-0.014751730989036071
662,-0.00859454240685478
663,-0.020255389041960725
664,-0.015858696622302295
665,-0.023363951904143417
666,-0.012136989002952781
667,-0.01671501383253738
668,-4.510772563298276e-08
669,-0.013919289441667732
670,-0.016468184612066696
671,-0.013448789649789156
672,-4.702439934550883e-07
673,-4.538426148495642e-09
674,-0.008296643066331391
675,-0.015642616410910547
676,-0.02381431442772137
677,-0.003182070065724896
678,-1.2399791204154423e-08
679,-0.00045269090020571136
680,-0.0067832511389484505
681,-0.02555814558968115
682,-0.00022600037367826077
683,-0.018684095893236198
684,-0.014286376168766038
685,-0.026997540619940058
686,-0.026256502295744846
687,-0.008993327362484444
688,-1.0402701132886955e-07
689,-0.0016871989646344207
690,-1.4139278743388615e-08
691,-1.592887408031898e-07
692,-0.018323648873895745
693,-9.222901637095072e-08
694,-0.02334813562512791
695,-0.013446928584682096
696,-2.2460849758419145e-09
697,-1.647376076222544e-08
698,-0.024275423644815528
699,-6.401257057047136e-08
700,-4.011478051301827e-07
701,-0.017263550442353195
702,-1.927037919273849e-07
703,-0.0017946656053180188
704,-0.012815121734536335
705,-1.6654820877935372e-06
706,-0.008270066879679195
707,-9.688735466138573e-08
708,-0.003846481679002245
709,-0.00034487931363898363
710,-0.01136497758263958
711,-9.860068198547573e-07
712,-0.009742241652722571
713,-0.009006694024021088
714,-0.0061079117967933775
715,-0.007705533718819731
716,-1.793201829815442e-08
717,-0.0033225475531779443
718,-2.3135102318680276e-08
719,-5.446061042034122e-09
720,-0.028849646573961364
721,-1.5820446489248264e-08
722,-0.0051414684115351356
723,-8.073272947170165e-09
724,-8.21053593502802e-09
725,-0.009230101247865405
726,-0.014450591022456102
727,-0.024568440016765468
728,-2.2431062603032184e-07
729,-0.014325965034701975
730,-0.008235231388208235
731,-3.1351673291145566e-08
732,-0.011367747852039898
733,-0.010584222162674994
734,-1.5635361688469763e-07
735,-0.01427978563998148
736,-2.8323526361216644e-07
737,-2.3766156472437754e-08
738,-0.02893236212475036
739,-4.784645294683765e-08
740,-1.071718331529023e-06
741,-0.01886294796706112
742,-0.008842241024507222
743,-0.008335648015922093
744,-0.008627336281739723
745,-0.014425988603828006
746,-2.7170261579299356e-07
747,-0.0011616110634923202
748,-0.013097564504039459
749,-2.0446692836002737e-08
750,-0.0007438214187258649
751,-0.011838438598162226
752,-0.009370687235629612
753,-0.00015717628640024488
754,-0.008872321854848136
755,-0.002509664526543784
756,-1.4917100339886301e-07
757,-0.005495571545409523
758,-0.005304175779056954
759,-2.1126246874529925e-08
760,-0.020362698313307094
761,-0.017362222931711954
762,-0.0189157923420477
763,-0.005835717199993234
764,-0.01022155646693843
765,-0.0036255487742594787
766,-0.007446364647241923
767,-0.012783366593536849
768,-7.308213375127663e-07
769,-2.1421273864301653e-09
770,-0.007287211819177062
771,-0.02130576785131318
772,-0.018299019956208303
773,-1.3234373402610198e-06
774,-0.002651129100489737
775,-0.0011775692578725363
776,-0.00999512070825255
777,-0.005572334069219615
778,-0.02011542557851428
779,-1.941702307363206e-06
780,-2.2437278541516532e-07
781,-0.0044044174665613806
782,-1.4328752604446969e-08
783,-0.0023126486797023704
784,-8.06396379360556e-09
785,-0.0005047900449476941
786,-9.592642221052526e-08
787,-0.022465693662921025
788,-7.61207289415506e-07
789,-1.2595035935227911e-07
790,-0.026026482692173544
791,-0.0003850052718808406
792,-0.0019117974814939133
793,-0.0028148112146078974
794,-0.0008164935854167269
795,-0.0009413800497934346
796,-0.006215182340782924
797,-0.0037159608828533494
798,-0.02618004950486965
799,-0.017667328814679965
800,-0.007947635569159872
801,-0.0023028860306111374
802,-0.027756674583584686
803,-0.0038664566513186963
804,-1.4813529673708046e-07
805,-1.1274474508096212e-08
806,-0.023358899264556632
807,-8.70779996614908e-09
808,-1.4782397163334092e-07
809,-0.01882474821544671
810,-0.0032802860626456537
811,-6.94528925616014e-09
812,-0.006759427440370446
813,-0.014360216512989226
814,-0.023718940567546355
815,-2.8744263842768835e-07
816,-0.007545891096125835
817,-0.024686987613681946
818,-0.008363388439277213
819,-2.6877093802882937e-09
820,-1.3764021174536516e-08
821,-0.01228828157244173
822,-0.009707596343692657
823,-0.004503943880750095
824,-0.004598196109335846
825,-0.020614035239459847
826,-0.006014973613714373
827,-4.873506405838661e-08
828,-7.889451280570124e-08
829,-1.4018157398138552e-07
830,-0.013807817826299713
831,-0.015327814492759096
832,-0.0007462748627134601
833,-5.5520416845488195e-08
834,-0.0199860036510384
835,-0.013564805606143888
836,-0.0036960283629794317
837,-0.00034487628509491055
838,-0.00897485345753475
839,-0.030591137059723324
840,-1.5050260887370915e-07
841,-0.007191141241415225
842,-1.9476742924457387e-08
843,-2.367904154481891e-07
844,-9.376107668895784e-09
845,-0.027752504789545808
846,-0.008282332220055606
847,-1.0066153764527165e-08
848,-0.00014246263867675714
849,-0.02245520767113483
850,-0.020902696043683933
851,-0.012863661900611506
852,-0.013734101890615115
853,-0.00027358423687556956
854,-0.0026841813354271694
855,-8.376348905368846e-07
856,-0.020160103097516494
857,-1.1755114090813537e-08
858,-0.028847878008861214
859,-0.004136493184327145
860,-0.008718806385120275
861,-0.004174157755444097
862,-0.023483180249733282
863,-0.002252628659640176
864,-0.009270550015374468
865,-2.3478798117706653e-08
866,-1.519923845051821e-08
867,-0.011811231268787485
868,-0.008964518871004051
869,-0.011643276476560395
870,-0.02054219436070707
871,-0.009530955901431692
872,-0.000496452055389235
873,-0.00998553983434443
874,-0.018259823059530438
875,-0.012129230560918488
876,-0.0033618636580127034
877,-0.003723597880416355
878,-0.025198071919908586
879,-5.685128964852711e-08
880,-0.007259191878322302
881,-0.02355199430781156
882,-9.476724470276605e-08
883,-0.028318981310242995
884,-0.013553474455180453
885,-0.004527481979078169
886,-0.009620034502004491
887,-3.260182187455695e-08
888,-0.016344244395888795
889,-0.004109215531208194
890,-0.022178738996139397
891,-1.2114332943338742e-07
892,-4.492681169205018e-08
893,-7.012130030055119e-09
894,-0.01865549337316393
895,-0.0036375996154311436
896,-0.0005729736282293038
897,-0.011741715270201689
898,-0.0004651205429272653
899,-5.824349469025648e-09
900,-2.1624645934217943e-07
901,-3.674284808941054e-08
902,-1.5728821664959564e-07
903,-0.0015651796748219155
904,-0.028446693323524345
905,-0.0033821669946612677
906,-0.007498843810914684
907,-0.004234703635082436
908,-0.02601536902350881
909,-0.0013436514108492426
910,-4.371742773730663e-08
911,-0.00047398514456704877
912,-2.4989701285955985e-08
913,-0.004195154515871253
914,-0.004422851680911681
915,-6.735472727030161e-09
916,-1.0906669639841529e-06
917,-0.008028184412488776
918,-0.001529567699591992
919,-1.0057578530939544e-08
920,-0.022632749950471067
921,-0.003140195339106109
922,-0.024655206821571816
923,-0.022802223879226632
924,-0.000300109183791783
925,-2.6433380376607477e-07
926,-0.00014735762619114324
927,-0.010163806864731157
928,-0.0037603065163986167
929,-0.01343544876813131
930,-0.0025682147184707383
931,-0.003786292567462379
932,-0.004083022323146187
933,-4.892858556919503e-07
934,-3.731985869369405e-08
935,-0.018777681371945982
936,-0.005205969268940223
937,-1.4482007119410474e-07
938,-2.9856710402416986e-07
939,-1.6911655490505647e-07
940,-3.3606051512845596e-07
941,-5.5917205642041875e-08
942,-0.0037740281246759883
943,-0.02174964700245226
944,-0.003526236608599227
945,-0.01984552430929195
946,-0.004489739233192832
947,-0.00032826714117196516
948,-0.026677092675881343
949,-2.697894603226312e-08
950,-0.0013643604913120791
951,-0.0017343069415849868
952,-0.00186396837798283
953,-0.004535393304818307
954,-0.01587490481827415
955,-2.2446445680435835e-07
956,-1.9456143742424285e-07
957,-0.011714375354304026
958,-8.289177059318274e-09
959,-0.007352195450199004
960,-0.009988824957375646
961,-0.0036873973198672297
962,-2.426884214983179e-07
963,-0.030728417624085836
964,-1.441171491842145e-07
965,-0.02050979096425165
966,-0.0063676170679590445
967,-0.013997300165200835
968,-0.008514477116335385
969,-0.021128889923995114
970,-0.0054857009633956
971,-0.01930544048056867
972,-0.010324837765775578
973,-0.0006203703560051015
974,-0.000990285945411178
975,-0.00025506217994414717
976,-0.016120481259315717
977,-0.024098206321359544
978,-0.0015204573446545861
979,-0.030145550008825232
980,-0.004957677323950449
981,-9.808210441914922e-07
982,-0.005328994684769054
983,-0.02706164275542239
984,-2.405800285243198e-07
985,-0.01320789078610759
986,-0.014308888217481455
987,-0.023411318272746614
988,-0.005232304109655318
989,-0.0021971327978606067
990,-0.017664574986456565
991,-0.01236906488672655
992,-0.0036731932656565262
993,-0.005899880675513374
994,-0.004972913535391989
995,-0.004848647325047813
996,-8.366391826693766e-09
997,-0.02002376220707896
998,-0.020177598142503035
999,-0.003873950326650886
