,IC objective incomplete beta
0,-0.0008635058185936218
1,-1.5035512773488344e-05
2,-0.0003449989187285041
3,-0.0009465976931550373
4,-2.9888840168356242e-05
5,-0.0001649304314912624
6,-0.0003328837487399361
7,-0.0006799209613310578
8,-0.0002904879826778992
9,-0.013635699202873995
10,5.221491283662297e-06
11,-0.002619086626171724
12,-0.0022269713444720697
13,-0.0038678856404465566
14,0.002448880752629526
15,2.177238461286787e-05
16,-0.00013499062182347572
17,-0.0026334155489760166
18,9.811065623394266e-06
19,0.0001687303859323377
20,-0.002276973115907127
21,-0.00012783712694181245
22,1.0766357004915312e-05
23,-0.00035437174745769976
24,-0.0001065103371402568
25,-0.0036564051220390383
26,-0.003022618054209754
27,-8.740290167575732e-06
28,-0.004351492685278267
29,1.3578675074447377e-05
30,-0.00022261410497373662
31,-3.2449593763585195e-05
32,-0.005474725122136809
33,-0.0002626541364140407
34,4.890922589358279e-06
35,2.1786451480992617e-05
36,0.0004022746218053353
37,-2.6803122106352923e-05
38,-0.0005566835743729679
39,-0.003036034818767665
40,-0.007838397907018962
41,8.223955257664107e-06
42,-0.0002560852871732183
43,-0.0016866398053471956
44,-0.0003634086605319573
45,0.0014871086600196678
46,-3.892589514975439e-07
47,1.7264116692033765e-05
48,-0.0011348147860418308
49,-0.00026132172019963676
50,-0.0038797072988439978
51,-8.84092879203356e-05
52,-0.0003726059421809505
53,-0.0004125171438609819
54,-0.000273719182099737
55,-0.029697791204080372
56,-0.0006893257639323226
57,-0.002978247369926683
58,-0.0007475413774067501
59,-4.264252259561908e-05
60,-8.193697447348453e-05
61,-4.443617477688588e-05
62,-0.00802368001465696
63,1.2674567201516658e-05
64,-0.0022831718460357233
65,-0.0003506168113181627
66,-0.0007922043614681506
67,0.00041607965548954
68,-0.0001507437741661593
69,-3.6836526955102823e-06
70,0.0011072795528556266
71,-4.982686425881019e-05
72,-0.003829454613988171
73,-0.002091557119770154
74,-0.0001391383193887837
75,8.231797343137216e-06
76,-0.0011129547380179761
77,-0.002517341467770288
78,1.3832793999900602e-05
79,-0.0008603205717019106
80,-0.005384275173295636
81,-0.0009537742551526502
82,0.001314341699788721
83,2.1556482046775938e-05
84,-0.00014835105981226497
