,IC objective incomplete normal
0,82.7706156805407
1,69.49044065496238
2,89.09827314514749
3,88.64321284412621
4,96.16628286763243
5,78.45845083867924
6,104.621376333537
7,92.70710424881091
8,70.938524962185
9,77.85108863297056
10,74.70657440523341
11,123.25973821061902
12,110.45490578274136
13,20.085861162069776
14,84.65419792402784
15,79.07880744474002
16,102.16123489584191
17,81.31102963460539
18,26.09729713198116
19,79.6073317791822
20,142.58318572271722
21,83.55548429674715
22,98.07244884454883
23,69.98686957382048
24,10.869220876138206
25,60.499917509674596
26,68.09595569563093
27,77.73155877642333
28,86.43587075025012
29,44.68114634622616
30,93.3699685703357
31,62.57049163323735
32,41.56063727126107
33,46.14922474575959
34,86.97321024769847
35,73.54189136359123
36,50.6384292076594
37,47.2427518563236
38,92.73473767156052
39,55.88204878038019
40,119.61912697511661
41,96.84276307521412
42,64.28375077693724
43,62.58142817462898
44,114.51245010899157
45,121.69136668869646
46,83.090810938129
47,123.90130141882811
48,82.61259073909791
49,120.38494202276404
50,74.2286166940521
51,69.73426241175463
52,136.9917513605055
53,64.87383117095071
54,68.63275716259865
55,69.73551337878281
56,77.16914792860473
57,69.05960047904509
58,144.34071107002865
59,89.60463589418686
60,134.1536518767901
61,74.35802232712413
62,91.95176450183014
63,99.67701564460728
64,72.18578171188041
65,108.04375803545517
66,63.40570248277219
67,79.47191831687194
68,110.83658045795447
69,93.86719571594357
70,91.38213829679933
71,50.62290303342057
72,106.63085644465019
73,98.03965992336535
74,97.36759228955626
75,109.16605313209382
76,71.16835751997544
77,38.533846388282974
78,141.18385230635934
79,27.27382935645612
80,79.6967476922368
81,109.52899243173677
82,107.81917042807949
83,73.30101927681031
84,93.43365599045691
85,51.78673376189764
86,130.75052396007214
87,106.53113800698004
88,110.56356470072329
89,71.47432571081778
90,83.85030951021308
91,105.27429233355068
92,80.19275002751853
93,51.32431935469937
94,44.53692598019919
95,47.35962286471535
96,15.52314467390725
97,107.64376982460006
98,94.76341984781276
99,109.21477640897068
100,90.16280681335941
101,106.86815565431343
102,55.3831232759844
103,70.54206728842244
104,118.70492355494615
105,63.64248683729588
106,96.9578655545449
107,70.26078617408993
108,100.87845910634633
109,84.71377789800927
110,30.20494732225395
111,81.54815130544009
112,60.44223777601465
113,61.962965032697305
114,73.94373837112781
115,38.54548181943768
116,105.54915106439147
117,110.43556421808702
118,108.6320721003518
119,109.16929123333863
120,71.49369389550179
121,105.16587957333985
122,107.3324656930208
123,80.10491425329593
124,83.6799077857234
125,131.72136407463273
126,82.55361568570552
127,95.15629857017404
128,37.36378440385904
129,128.49487264353786
130,94.47459412627894
131,128.55644099271905
132,70.8513506803558
133,120.10448613485585
134,105.7500285886005
135,71.71788131438734
136,93.66968417915261
137,100.08887191970705
138,60.519655490169775
139,58.98329170500271
140,103.14295766430365
141,94.74791511547426
142,103.60745897187569
143,17.20523868949942
144,101.25344678042828
145,128.12892432646734
146,86.25219832033343
147,51.486669589918485
148,99.88226454413001
149,62.49728579991591
150,55.3108228147522
151,104.25354368488973
152,86.85226940380066
153,71.91010609758897
154,85.81249830075242
155,104.39577648719398
156,82.67116353330061
157,79.94815683048832
158,74.52303925812164
159,110.46281550409401
160,121.20089022078774
161,56.70879161910762
162,111.40484092606661
163,58.518552534184536
164,75.82625866865693
165,65.96356333261348
166,105.25782426958544
167,69.3989402425522
168,32.76201065821359
169,105.98072485878346
170,66.42774610626014
171,92.72014312495433
172,114.19749462045418
173,89.30583401382752
174,93.95977250635586
175,89.5541413297282
176,101.30711466240265
177,62.01066713409652
178,111.5132430785723
179,63.11351332115679
180,63.60233006820177
181,108.87913525476625
182,3.5087926984643683
183,74.26703289881014
184,99.09814556204593
185,76.04100505280444
186,104.6611296864666
187,84.66621227107306
188,83.58121578777184
189,74.04077530620073
190,79.43222749511308
191,108.88463638308899
192,98.79613805286876
193,83.25930961783439
194,112.29384783012888
195,-0.005650310495302295
196,111.9653920865111
197,90.03552261311876
198,128.19987056065233
199,88.82254803524823
200,83.42520547592225
201,42.35698133428554
202,94.2782885801843
203,83.07745694623976
204,41.02638202927228
205,98.77034883704057
206,111.40433121949621
207,54.727239535768334
208,55.67527392488551
209,45.83218546826261
210,73.081620667823
211,68.3148140230129
212,76.32380282099224
213,66.74180021455696
214,92.22218207044641
215,80.73538057461688
216,88.12522458182275
217,105.82620480350873
218,111.19239633724993
219,69.60262760720988
220,76.65436956421047
221,66.67065034512187
222,53.71949192931987
223,56.61871880304179
224,97.03350688378403
225,33.90287532267842
