,IC objective optimistic
268,-0.5002915519391873
269,-0.4126220039520965
270,-0.7501658949901048
271,-0.6462283576553935
272,-0.3802540379984237
273,-0.581052670143084
274,-0.7392971573619308
275,-0.47838929084095716
276,-0.722896949409197
277,-0.47965919506676696
278,-0.6479698655781675
279,-0.6667727667190051
280,-0.4581469155495521
281,-0.3743903252960494
282,-0.532369675903355
283,-0.6842404137606416
284,-0.8642599962826563
285,-0.5537402162332761
286,-1.3974292413024147
287,-0.7608450509554235
288,-0.45481122575388205
289,-0.7125804345764216
290,-0.8117682202125137
291,-0.7062531502070292
292,-1.1583922863479783
293,-0.5382075177183043
294,-0.4190588842303976
295,-0.45055101407721315
296,-0.6835086284502475
297,-0.3966057645214387
298,-0.8681786317325045
299,-0.8565386181242628
300,-0.3635404235979573
301,-0.5880086769305195
302,-0.7353166481719764
303,-0.6494432547533668
304,-0.5561321887869848
305,-1.0366870209100516
306,-0.5667150565644209
307,-0.9848420484780851
308,-0.6504365434765205
309,-0.3786594864990904
310,-0.5538119276940957
311,-0.44248417396824646
312,-0.7715461291710639
313,-0.6469773477676055
314,-0.3843658897213512
315,-0.1979671420826428
316,-0.4453595052967901
317,-0.47120389814548247
318,-0.2884825283866397
319,-0.8145381253780389
320,-0.5481783034587362
321,-0.5730512026035626
322,-1.0430285715205252
323,-0.1498463669501531
324,-0.6525011707992983
325,-1.1737680450090804
326,-0.6372140358127454
327,-0.5437089835321351
328,-0.6297628783672842
329,-0.531529316184958
330,-0.6537298695576303
331,-0.6179498243586213
332,-0.6840800249151223
333,-0.38000540262258153
334,-0.43787967338591977
335,-0.5861423181266254
336,-0.32158492865943733
337,-0.7483478075197443
338,-0.8737877023613596
339,-0.660765202947081
340,-0.6045602499918844
341,-0.8428443534244267
342,-0.35697798274451925
343,-0.9801099358561831
344,-0.2791061559026723
345,-0.5564835065224886
346,-0.541461645908544
347,-0.6460315490290565
348,-0.43451361635029917
349,-0.7658487206211967
350,-0.5928233004198373
351,-0.5588972216797223
352,-0.7197613376968254
353,-0.7746026228656515
354,-0.39968305877447496
355,-0.3775132059895505
356,-0.8829318884644223
357,-0.26867430691283783
358,-0.5748393119861221
359,-0.5600237590173645
360,-0.515732762157867
361,-0.5045779908043624
362,-0.3185304821968389
363,-1.0300146781645467
364,-0.7536531596337094
365,-0.7148179028953996
366,-0.6008241650469859
367,-0.5189994371626852
368,-0.5524837820819607
369,-0.47878082798881877
370,-0.4292082586710523
371,-0.47799738866325175
372,-0.7076777824164313
373,-0.6899867494757905
374,-0.8425379108418911
375,-0.4035213289840351
376,-0.4638044658309443
377,-0.4777037044674851
378,-0.37269379033232664
379,-0.7378765332496499
380,-0.5437235051253233
381,-0.7189563503288596
382,-1.133664961455095
383,-0.5812507981782663
384,-0.6061396912064843
385,-0.857926378886815
386,-0.6649003519108242
387,-0.5636840007395504
388,-1.2864097595055692
389,-0.8258992564421891
390,-0.4753227340365429
391,-0.7050042812197623
392,-0.41018627642395966
393,-0.43212857803493876
394,-0.6544545049188365
395,-0.32668993396833923
396,-0.5483080460168016
397,-0.5704412835200907
398,-0.8902662703347429
399,-0.5815524835261822
400,-0.4861658932572386
401,-0.6474947713346741
402,-0.48063247508743423
403,-0.2618114726839881
404,-0.5332223254536909
405,-0.5635664321137343
406,-0.6140797836592088
407,-0.7090629356471317
408,-0.7812637992547754
409,-0.7012626836911305
410,-0.7227227803939038
411,-0.6938013832698954
412,-0.4037498148986176
413,-0.594372755040163
414,-0.8281027181190935
415,-0.5083093894992777
416,-0.3870639470818578
417,-0.5546061700731855
418,-0.6749406453743967
419,-0.594228667614397
420,-0.5826001618912435
421,-0.4628127460663
422,-0.675823411579404
423,-0.4488838547065964
424,-0.6613798483384558
425,-0.6099745504612436
426,-0.4469011196608085
427,-0.7041616423069932
428,-0.5818891064049478
429,-0.551634141723309
430,-0.3531125009278569
431,-0.5887317381038008
432,-0.5150363712967313
433,-0.764436167561402
434,-0.6102467107405269
435,-0.6989520760237252
436,-0.7741693418871218
437,-0.6767407504344418
438,-0.3110026421467981
439,-0.7234582168375715
440,-0.6475153411208396
441,-0.7361018049386492
442,-0.48530874113941597
443,-1.163774760080941
444,-0.606979030020817
445,-0.37027369695017465
446,-0.4287313779991881
447,-0.6657218090989415
448,-0.5084842413036781
449,-0.6234396729667079
450,-0.5115117163473512
451,-0.7772516521440983
452,-0.5665233362462344
453,-0.7827175477713267
454,-0.6486855870995412
455,-0.49876843786037456
456,-0.5922035566786634
457,-0.7323931895375847
458,-0.5154478597390941
459,-0.8684906408132367
460,-0.4492281132584425
461,-0.6447553803122638
462,-0.6708381874340041
463,-0.5127255913106752
464,-0.5529220353591533
465,-0.7127398251853906
466,-0.3875658448902572
467,-0.5503709528445687
468,-0.5780445621266276
469,-1.1662496068945027
470,-1.016033882200133
471,-0.6174658996423755
472,-0.7730525538714376
473,-0.5824870143962441
474,-0.3733737044890361
475,-0.4315048755739816
476,-0.9176638520531857
477,-0.37995365359749056
478,-0.45952352620405484
479,-0.8006760882871841
480,-0.35316711041542
481,-0.43512624679091516
482,-0.6471380953680871
483,-0.6090853509417986
484,-0.5298649314055006
485,-0.3783850638127468
486,-0.6250145772849546
487,-0.4643456505197188
488,-0.800855322157222
489,-0.5338232447486985
490,-0.6300688402126584
491,-0.4814005171895359
492,-1.1842295368334628
493,-0.8745478368421504
494,-0.8217278710934511
495,-0.6155416810216066
496,-0.46091029773004527
497,-0.6716182960973109
498,-0.68769245211623
499,-0.8030675209484627
500,-0.6162774677471219
501,-0.31261958581948157
502,-0.4833986047125091
503,-0.4820969375862016
504,-0.5013026680791675
505,-0.5460902881642016
506,-1.2186402236273046
507,-0.47023965520003125
508,-0.8783646694381685
509,-0.7615007458544882
510,-0.597507663289977
511,-0.7575995720518294
512,-0.6691837187014066
513,-0.2959850239367033
514,-0.9400297835544655
515,-0.5918560894225171
516,-0.4561983481545544
517,-0.45829112184758003
518,-0.4673027862788513
519,-0.6815395688837459
520,-0.3625174270933807
521,-0.9277089102383144
522,-0.5453895649773991
523,-0.46412792312101003
524,-0.4927810611686115
525,-0.6015658071460277
526,-0.36850091187785117
527,-0.58755511314863
528,-0.7835007659827525
529,-0.3908534859467955
530,-0.7289504492012485
531,-0.8887472986447639
532,-0.7398166903816289
533,-0.8541041796360487
534,-0.5844336842694261
535,-0.48206562407771764
536,-0.8265332330582688
537,-0.4440515256867167
538,-0.4618724673736472
539,-0.5312290893012213
540,-0.4888027000404325
541,-0.6441039072401084
542,-0.3095833948533457
543,-0.7203760572124807
544,-0.3650455874704555
545,-0.3977511170249332
546,-0.7901763784205929
547,-0.6588825944427741
548,-0.38630039906368585
549,-0.6676226357751394
550,-0.5114216303806981
551,-0.6236498512765799
552,-0.4578903181143302
553,-0.15351411428553127
554,-0.7093739787056604
555,-0.5546154006634191
556,-0.35235273827115776
557,-0.7000967115655286
558,-0.5506196310063995
559,-1.0756980312250406
560,-0.8955099803571986
561,-0.9725915056721827
562,-0.5731605215155934
563,-0.5612405086410343
564,-0.7017762551234291
565,-0.4368997611051251
566,-0.8546163817579833
567,-1.0281882580389392
568,-0.37762760660308975
569,-0.8192218408758262
570,-0.5359630916518634
571,-0.8713543610218769
572,-0.41950381184520646
573,-0.32428074548437086
574,-0.3884234365119544
575,-0.8616540959741569
576,-0.3379181256294044
577,-0.36385167065029034
578,-0.6498340240082653
579,-0.6553872257963743
580,-0.9507784658603103
581,-0.3572429415966158
582,-0.5647361731193743
583,-0.8329815354564887
584,-0.5589628024628046
585,-0.270369041884449
586,-0.8099628687494599
587,-0.7471492853034148
588,-0.9616433487962605
589,-0.7715276274739893
590,-0.5658092472655463
591,-1.1567888075430774
592,-0.7245368173893255
593,-0.5287921893007341
594,-0.4094698643031226
595,-0.343670222840236
596,-0.9164190831012806
597,-0.6608854624395561
598,-0.577335385275015
599,-0.5310902242653542
600,-0.36681470602897925
601,-0.6816648249036926
602,-0.9442776317624372
603,-0.8218354504346089
604,-0.6343018197370822
605,-0.23684067746372195
606,-0.8250161064985502
607,-0.7661058823326281
608,-1.0646802791915935
609,-0.3714066653842438
610,-0.4760376335138891
611,-0.45211024758704815
612,-0.4006857835583683
613,-0.6885201559743273
614,-0.20629199578711716
615,-0.739375639322867
616,-0.41960310992023325
617,-0.6763732200490993
618,-0.49743838637298843
619,-0.7418444714569015
620,-0.8764642863786678
621,-0.5912612934520565
622,-0.4923756438256456
623,-0.4671361948510448
624,-0.5834234694890853
625,-0.5631921943546062
626,-0.2972734798226825
627,-0.41018236133813957
628,-0.5185016126224337
629,-0.5816970803952769
630,-0.5345244422620508
631,-0.6321737478634919
632,-0.6186052297099951
633,-0.8468367621419246
634,-0.700714161933366
635,-0.3740744276185764
636,-0.601627651384059
637,-0.4892947545311219
638,-0.549543262517691
639,-0.5535962124767264
640,-0.9918263765473176
641,-0.5558452210198433
642,-0.6864637431556685
643,-0.7974435498453446
644,-0.30512056082230704
645,-0.8210029102938794
646,-0.29743519717143296
647,-0.647721976345896
648,-0.8140057524322537
649,-0.4587149159287505
650,-0.48964607784478115
651,-0.7475497808326769
652,-0.6040536472421832
653,-0.5557679359266978
654,-0.8070626255625949
655,-0.8066876233809022
656,-0.5709391146452876
657,-0.7601198543365094
658,-1.0625980703728362
659,-0.7473839032386798
660,-0.5076279263652685
661,-0.7779997132599897
662,-0.31255988073584146
663,-0.42916255902262085
664,-0.5867879857418589
665,-0.6264441942592305
666,-0.8862868371891695
667,-0.7487208266317004
668,-1.0302619840088014
669,-0.8058968903718914
670,-0.9134243273793784
671,-0.844948726996517
672,-0.7400795412960772
673,-0.8621483179435063
674,-0.5569160215843233
675,-0.5558988331050343
676,-0.8685915254485023
677,-0.4573867577278324
678,-0.6190975954835028
679,-0.6265567002979512
680,-0.6165854269351909
681,-0.4438816833044754
682,-0.1656897147996742
683,-0.895172335096349
684,-0.7215648415511591
685,-0.4637811388924955
686,-0.7576530587979923
687,-0.7290608885158197
688,-0.6959140888355916
689,-0.2522954994092833
690,-0.764323094342459
691,-0.5833044486236663
692,-0.3355869478235594
693,-0.8452071072481433
694,-0.5386443596223508
695,-0.6143411717113576
696,-0.5518585865840325
697,-0.8779916654148252
698,-0.37466429970375986
699,-0.6665357055553267
700,-0.8829221169758985
701,-1.079183067280491
702,-0.7012203904777562
703,-0.5564587526295623
704,-1.1306634728449763
705,-0.7622586222819142
706,-0.706966943601091
707,-0.6781389428387794
708,-0.4757879794377296
709,-0.5730193649457977
710,-0.2673841021361871
711,-0.3997636155120206
712,-0.6488896783997314
713,-0.5717266889152769
714,-0.6989751515110348
715,-0.7749664650111164
716,-0.36057320602466486
717,-0.7703921030954252
718,-0.72179428146467
719,-0.9654127629934864
720,-0.7350740302354802
721,-0.527269280539643
722,-0.6905767428854773
723,-0.9653570417034867
724,-0.5147755300518179
725,-0.566240464723631
726,-0.6715196537512734
727,-0.5134018922944119
728,-0.3150125978810139
729,-0.7898090680123087
730,-0.7961170914950705
731,-0.3155483230718044
732,-0.7895772704793255
733,-0.9303793249645937
734,-0.5811909311069154
735,-0.6289854660658364
736,-0.2640212947126414
737,-0.543382740960278
738,-0.2806773191817869
739,-0.47646968816835383
740,-0.6679823982587209
741,-0.6992524045394574
742,-0.49717715861230755
743,-0.6067371911317441
744,-0.5602960445817838
745,-0.5452850259991114
746,-0.6424463311073632
747,-0.9910646591205927
748,-0.13893782229366905
749,-0.7072843368738644
750,-0.39874854896431877
751,-0.8862530325322039
752,-0.6360856054464911
753,-0.42435487022618046
754,-0.38121996706439426
755,-0.8240117948836693
756,-0.6307126547792099
757,-1.2789687565831378
758,-0.2884294823836527
759,-0.5657613687220866
760,-0.33933477851862653
761,-0.4371840714614209
762,-0.8943605972618481
763,-0.4014548739126376
764,-0.6609113417992625
765,-0.8949227855885077
766,-0.5637851531516623
767,-0.5156323615611352
768,-0.6761511104511125
769,-0.7525553565156194
770,-0.7059923557959145
771,-0.7404969848546397
772,-0.6218622014346398
773,-0.8197864282089885
774,-0.4994258499371143
775,-0.30111374786261913
776,-0.879939544143583
777,-0.6072854953497703
778,-0.5947723288549447
779,-0.2961883332098524
780,-0.6247825962453357
781,-0.50867351515861
782,-0.6589310911697518
783,-0.6447284996360179
784,-0.5912550948943748
785,-0.445672992348395
786,-0.5717273028372885
787,-0.8221667661641026
788,-0.11502743381874873
789,-0.8235323540899259
790,-0.696888496937648
791,-0.33798264639712083
792,-0.9021966676903568
793,-1.014452310930875
794,-0.7620018620068137
795,-0.8329349005032501
796,-0.7254924281792364
797,-0.5168669154736832
798,-0.9042924598800627
799,-0.7433371967842526
800,-0.43148088620465774
801,-0.6977238897297141
802,-0.9393767294209117
803,-0.7757879613767139
804,-0.758330516706593
805,-0.4534723645493873
806,-0.45588228254821295
807,-0.4633026002899382
808,-0.45341585955041885
809,-0.4477967919175187
810,-0.7281842637638428
811,-0.43333201711306657
812,-0.29877685887525224
813,-0.5927400048493758
814,-0.6588085144358681
815,-0.47232002448526567
816,-0.464957956379995
817,-0.31650907000933753
818,-0.8849268264501106
819,-0.8710751935623526
820,-0.5248103046842448
821,-0.6088590660826112
822,-0.5610082613608152
823,-0.4525698295316526
824,-0.577519649689636
825,-0.5717807247315116
826,-0.44835304794438297
827,-0.7755025697766879
828,-0.48836965716090275
829,-0.37928546586485407
830,-0.6668628484081761
831,-0.757587287505899
832,-0.7323874679518458
833,-0.28359241049859013
834,-0.6832832370481982
835,-0.3770804610726596
836,-0.6188412874892806
837,-0.4437553404281491
838,-0.4046245684778523
839,-0.5755405534898882
840,-0.6455746595656233
841,-0.25457470192963144
842,-0.8925540575951887
843,-0.3836644535792596
844,-0.2701758449160206
845,-0.26616338811786083
846,-0.5140424356205112
847,-0.47326635771072245
848,-0.4030734771326339
849,-0.5176778822668651
850,-0.7526542758204859
851,-0.45117630407651793
852,-0.8260818154754159
853,-0.8779108675445867
854,-0.7950080392918186
855,-0.27797362767004935
856,-0.8847116123805848
857,-0.7461956659990664
858,-0.4577264203284998
859,-0.8264466278810862
860,-0.6694887017800092
861,-0.473429984006858
862,-0.7208284590321545
863,-0.6704885687642737
864,-0.9430425589061354
865,-0.7629474447585842
866,-0.7319697037244
867,-0.9266514362128483
868,-0.3916831097610162
869,-0.5153328242329253
870,-0.7665706966157769
871,-0.29019143657827257
872,-0.7685416917814746
873,-0.7313981237760553
874,-0.9846469462944984
875,-0.5071034663840316
876,-0.811463635303212
877,-0.642798393379016
878,-0.5760105556937011
879,-0.3311495813266836
880,-0.7241322608511509
881,-0.5132781475007372
882,-0.31506317384085186
883,-0.46299249709992696
884,-0.9083844980042595
885,-0.3994583814369913
886,-0.6558545735205148
887,-0.5148619269799396
888,-0.5226997306607911
889,-0.8710329364671379
890,-0.6570177118453518
891,-0.8627403167016462
892,-0.3013491638210326
893,-0.6618474985138123
894,-0.5764319546195452
895,-0.675687992378829
896,-0.6624795783063324
897,-0.7472113166468574
898,-0.15326764033081533
899,-0.4757312520346827
900,-0.37245373926416225
901,-1.0393733546218187
902,-0.3819155434602164
903,-0.6215839059270739
904,-0.42135997950174603
905,-0.4015578295061938
906,-0.7019510672660568
907,-1.0123949480399612
908,-0.8451694666487494
909,-1.0668095000280635
910,-0.5267593694862726
911,-0.6429678531317753
912,-0.8983168203589943
913,-0.9529690519964564
914,-0.42439536932507566
915,-0.8285174553233653
916,-0.6844726992319128
917,-0.6591500397965098
918,-0.689203899433559
919,-0.8742141235843479
920,-0.6658517500091354
921,-0.8146916585161602
922,-0.46105139886946006
923,-0.7418586170548382
924,-0.7506586734502848
925,-0.6489048985396797
926,-0.6056890825285264
927,-0.66093025154746
928,-0.526306554498696
929,-0.9927603730611779
930,-0.504753746344147
931,-0.2816403558423082
932,-0.5916765983476624
933,-0.5788227575094159
934,-0.4690219042915592
935,-0.7693249389117257
936,-0.7424859937638119
937,-0.4651272637796632
938,-0.5999080496110921
939,-0.7653467513072684
940,-0.5872164224861278
941,-0.2554503987312424
942,-0.529729215488926
943,-0.575034638354689
944,-0.42197685281800634
945,-1.0518633412491043
946,-0.5606321621237351
947,-0.4192903669057486
948,-0.17797229251429705
949,-0.6320861565600496
950,-0.5386589990912308
951,-0.7144247230138623
952,-0.548574286476867
953,-0.8049221365939206
954,-0.8791760301490682
955,-0.5296901252965216
956,-0.6839516504961868
957,-0.6642459898713831
958,-0.573167466722031
959,-0.4597631824577544
960,-0.9674342241557586
961,-0.9127450119486741
962,-0.20598579283513785
963,-1.01096497942916
964,-0.5232416727342373
965,-0.5863869193529283
966,-0.48571963647175054
967,-0.6267921976671278
968,-0.5904753076994763
969,-0.824050435831957
970,-0.5708511456042591
971,-0.6836084743977943
972,-0.6877921078475169
973,-1.0170755053790863
974,-0.6158949276967609
975,-0.5168746127730848
976,-0.6785027680876221
977,-0.13303543274149474
978,-0.6060462553468735
979,-0.5668404024705561
980,-0.4600430760600874
981,-0.6748685944112194
982,-0.7027212326799632
983,-0.31772756374985434
984,-0.3654604430960926
985,-0.41768558971818454
986,-0.6337702211551857
987,-0.713523124045417
988,-0.4197522154589668
989,-0.6314784316480819
990,-0.4557192541547377
991,-0.5344204619023768
992,-0.7534149678879998
993,-0.6961535792167258
994,-0.6327579465577987
995,-0.643376833386871
996,-0.7347301564232502
997,-0.610084948035776
998,-0.6116100111018712
999,-0.6153614565916187
1000,-0.5379862654131554
1001,-0.7667228049291119
1002,-0.359986025213353
1003,-0.34212431624014344
1004,-0.5366551063134269
1005,-0.5855096648263962
1006,-1.0449868327211136
1007,-0.4802061666495885
1008,-0.7287330775292209
1009,-0.30739194424773614
1010,-0.7264554697626325
1011,-0.7056013725787577
1012,-0.2528031508331145
1013,-0.7748037339734709
1014,-0.48048571670317836
1015,-0.5810505537221532
1016,-0.41415127934684287
1017,-0.38037819947787616
1018,-0.5394663624421189
1019,-0.43730096816307734
1020,-0.5658734427886886
1021,-0.6134541177008535
1022,-0.3998958640753
1023,-0.7837213734372495
1024,-0.7086782267285101
1025,-0.3808072356702506
1026,-0.4078299856043248
1027,-0.6487172812260433
1028,-0.7204793180432794
1029,-0.7024830517279006
1030,-0.4507246169637569
1031,-0.816752820191801
1032,-0.3825541901764674
1033,-0.7427042645143623
1034,-0.9125624323518153
1035,-0.3788624445013791
1036,-0.5264116731941981
1037,-0.7263281698985472
1038,-0.4864991310916255
1039,-0.7609375643012659
1040,-0.7117266724327053
1041,-0.6565861602057886
1042,-0.5764472108390296
1043,-0.1853842959500305
1044,-0.46124438637399856
1045,-0.6339077650320203
1046,-0.4942466462369477
1047,-0.6591572844355046
1048,-0.5568773254950077
1049,-0.44194735803724516
1050,-0.809188005582152
1051,-0.7130749684038342
1052,-1.3808018194474077
1053,-0.7489703334804126
1054,-0.167498632490656
1055,-0.5939939089466663
1056,-0.9363894677447434
1057,-0.7724780066693928
1058,-0.7298108375016117
1059,-0.7889031091684161
1060,-0.42423955052052376
1061,-0.39263303468945115
1062,-0.7139714828701701
1063,-0.6640197302498877
1064,-0.5957952797510284
1065,-0.36538819833384467
1066,-0.8523186823323226
1067,-0.49936622125356916
1068,-0.2984737304347885
1069,-0.8030271111214761
1070,-0.7152116190406448
1071,-0.9605202666098168
1072,-0.9261685290595393
1073,-0.7784638632638884
1074,-1.3590731298043013
1075,-0.5751925045294929
1076,-0.3667376668949453
1077,-0.6635384895277319
1078,-0.6492442155405536
1079,-0.5990430751103178
1080,-0.7830418677991315
1081,-0.658179247562056
1082,-0.15139861406155938
1083,-0.7858662410958984
1084,-0.7597618819001337
1085,-0.4803888300833991
1086,-0.8621122115574824
1087,-0.7280387901527584
1088,-0.392254873852299
1089,-0.5002039066937711
1090,-1.1050579794353932
1091,-1.0107702901810336
1092,-0.5089962318666182
1093,-0.5446059198392216
1094,-0.5482201355910109
1095,-0.5410302441459628
1096,-1.1647469978349507
1097,-0.48860125343768
1098,-0.7606435015120939
1099,-0.431465137635297
1100,-0.8242105273518072
1101,-0.47391795919044516
1102,-0.6547094885996548
1103,-0.14684876776061465
1104,-0.3422942780029808
1105,-0.6609133052478969
1106,-0.2778071798528219
1107,-0.5659115269586965
1108,-0.5918815300262618
1109,-0.7119454512847385
1110,-0.6637898224708736
1111,-0.7455773730417738
1112,-0.639864009845932
1113,-0.7913973432001434
1114,-0.12024594510445347
1115,-0.9892476154749831
1116,-0.7869143219121838
1117,-0.7014653937814048
1118,-0.798458421760566
1119,-0.7315077954584054
1120,-0.5082690081503521
1121,-0.7423807311171621
1122,-0.39738715978560796
1123,-0.7347699828959454
1124,-0.6606774299903613
1125,-0.5592266921855034
1126,-0.9072783897126122
1127,-0.6328182368238026
1128,-0.40742904983002715
1129,-0.5630585439588397
1130,-0.9535411389314554
1131,-0.653567706143884
1132,-0.7141518884132098
1133,-0.7207570951846788
1134,-0.5905287391565172
1135,-0.9012538266717514
1136,-0.638415747037257
1137,-0.7112327587246003
1138,-0.6504671504923226
1139,-0.734932115646159
1140,-0.41394391249753676
1141,-0.6041696186207445
1142,-0.7477140799958464
1143,-0.6169948712898847
1144,-0.47348705167590266
1145,-0.7105702435086977
1146,-0.9193050398581007
1147,-0.39670910623030925
1148,-0.6579249859436812
1149,-0.6037360440048019
1150,-0.6276033926628978
1151,-0.6832114092485244
1152,-0.5189169444759603
1153,-0.6963056448445808
1154,-0.5891377039120149
1155,-0.5016962426479156
1156,-0.7820274317894578
1157,-0.5523776221483591
1158,-0.3658063521797256
1159,-0.6716272350093054
