,IC objective incomplete beta
0,-0.0049965705163591695
1,-0.013742783977576603
2,-1.8213792111044127e-08
3,-0.0008238550367928172
4,-8.665785709178171e-07
5,-0.0013376533182484964
6,-6.495948289592481e-08
7,-1.3954414289091135e-07
8,-0.018950803796646164
9,-0.029458914827835924
10,-0.009664975623894316
11,-0.014490717546988243
12,-1.3931899591918333e-07
13,-0.009964954716958368
14,-0.024890646565544967
15,-1.3433487035682456e-07
16,-1.869544142822941e-07
17,-0.007768217111874754
18,-1.0270363515003715e-08
19,-9.834301360235907e-07
20,-0.005883187140269816
21,-1.317692769721064e-06
22,-4.898439300749036e-07
23,-6.161364502476077e-08
24,-0.012972452033413169
25,-0.023531837582065975
26,-4.494740326133526e-08
27,-0.0019933730617012597
28,-4.1314173552123095e-08
29,-0.010104933350914986
30,-3.0189903013424585e-08
31,-0.014296371368880012
32,-0.005008285520253402
33,-0.0266748284011057
34,-0.02221881441764291
35,-1.0811234987512257e-06
36,-0.028328312207842883
37,-2.33267403569989e-08
38,-4.923802030554483e-07
39,-0.0039887804818961444
40,-0.0022455215247374036
41,-2.8318241943594333e-08
42,-0.006946870439189255
43,-0.0045462063273733885
44,-0.026584323333993198
45,-1.0428695620129546e-07
46,-0.011178737426490996
47,-0.016508040260530373
48,-3.169571523961889e-07
49,-3.3800192464007397e-09
50,-5.526821783544037e-08
51,-0.00785774906320655
52,-0.006405097653813465
53,-0.0075873952234167714
54,-2.1709681725150943e-08
55,-7.029856406298002e-08
56,-2.1007940853050993e-08
57,-6.86196560491387e-09
58,-0.011051527769312668
59,-0.013012195711946142
60,-1.7115817930907866e-07
61,-1.3281533929676007e-08
62,-0.019880119185093022
63,-2.8347620450068467e-09
64,-3.730754046885308e-08
65,-2.082176082428789e-08
66,-1.719999831813448e-08
67,-7.76830634989136e-08
68,-9.422722957095263e-08
69,-1.4570007055666378e-07
70,-1.0809251481334724e-07
71,-0.0018775547567352
72,-1.9923545948319722e-08
73,-0.0064041066522805305
74,-2.8335135044302556e-09
75,-4.2193467473936017e-07
76,-1.5565433673057793e-08
77,-4.8817917201235656e-08
78,-7.714051214710827e-08
79,-7.140846761351934e-09
80,-0.007869700635566114
81,-4.474701474733868e-08
82,-1.2219676670843404e-06
83,-0.0016111693057541004
84,-0.026112464105432207
85,-0.020578150255818366
86,-1.842036662614854e-08
87,-0.017945324521084154
88,-0.01584035605482118
89,-1.011281922702526e-08
90,-0.02196497921153742
91,-0.009821998730239406
92,-0.021071143179446566
93,-0.0043454005275115025
94,-1.0229541595404913e-07
95,-0.00020002804473848832
96,-0.026553299502534516
97,-1.0127531769970864e-06
98,-0.001406473772671191
99,-9.111721137390301e-07
100,-0.005511912137068456
101,-0.01066597640677476
102,-0.021995073451975666
103,-0.024185547811149774
104,-4.273819628197715e-09
105,-0.0262270570426217
106,-1.9214683734317023e-07
107,-0.01942580456331448
108,-1.279495868367972e-08
109,-8.387458629296315e-07
110,-9.450308874383129e-09
111,-1.0576456833520981e-07
112,-2.3609753337025167e-08
113,-0.008045612114719776
114,-0.010737165196456617
115,-0.009526589979874208
116,-2.5507584891392055e-08
117,-4.3748711528005995e-08
118,-0.004117446437705935
119,-0.02754329842985117
120,-1.2209699952864296e-08
121,-0.013273973034415944
122,-0.004471826026677467
123,-0.007320294286266984
124,-9.354163897655279e-09
125,-0.016949510380553624
126,-1.7036031425068764e-06
127,-6.4127784486355356e-09
128,-5.737958909227482e-09
129,-1.0448093618428458e-06
130,-4.120741616907049e-08
131,-0.012247250649506929
132,-6.12264183441775e-08
133,-0.0021501844637778745
134,-0.00795657490898044
135,-4.693482762447489e-08
136,-2.197735442195006e-08
137,-0.01159857518258204
138,-2.4311121285194326e-07
139,-0.015014162063829892
140,-4.528768292313408e-08
141,-0.0006031744445575772
142,-0.002676743436150667
143,-0.016993695683984917
144,-1.9044651012984744e-08
145,-1.1807881598903872e-08
146,-0.004077344118538704
147,-0.004031870664472077
148,-2.1756120139310958e-08
149,-1.597569228259433e-08
150,-0.009339286436944006
151,-2.5300793881088972e-08
152,-1.7629940969617773e-08
153,-1.313402640589002e-06
154,-8.070598976161923e-09
155,-1.1191194475718161e-08
156,-2.3672756023196058e-08
157,-2.8818092484672252e-08
158,-0.0017972355899482575
159,-0.022109908800490255
160,-0.008127178753256524
161,-0.0020170649334392515
162,-0.019954967678789386
163,-1.2767559653553945e-08
164,-0.0025940557797747197
165,-0.008127164318113651
166,-3.069428555455594e-08
167,-0.00025175016310893073
168,-2.558973564995683e-08
169,-0.0209394232330244
170,-6.512992064801206e-08
171,-6.029319407415022e-08
172,-0.029012299449993836
173,-0.02832083457441841
174,-0.021337827872029695
175,-4.5504952565969655e-08
176,-4.208922558616627e-07
177,-6.142894056757958e-09
178,-1.425373340050341e-07
179,-3.934960142098022e-08
180,-3.857884509220805e-08
181,-1.2347458137421212e-06
182,-1.0094013628935769e-06
183,-1.2778201250883274e-08
184,-1.15154342625137e-08
185,-0.021456055142276827
186,-3.1233817575070016e-08
187,-1.1673964953338809e-08
188,-1.1188118063828257e-08
189,-0.003759977331762444
190,-0.011379747910482184
191,-3.68372663705847e-08
192,-2.813078666491942e-07
193,-3.4601326307338895e-08
194,-1.3898697379410965e-07
195,-0.019301244120490654
196,-1.944934127613917e-08
197,-1.703124415107446e-08
198,-1.8836774825181505e-08
199,-0.009514784255395892
