,IC objective only_IC_PBP
867,-1.073526608443133
868,-0.7910356013010691
869,-1.2511594318018082
870,-0.9544873069198828
871,-1.5827076010795456
872,-1.8829812626410036
873,-1.791386885964878
874,-0.8591587617810283
875,-1.9051572157931793
876,-1.1155893473075238
877,-1.474048089466167
878,-1.6415495891537861
879,-2.501686882392984
880,-1.5147543295759138
881,-1.4350742330030897
882,-1.013600792834915
883,-1.9683605865970553
884,-0.7330298370548575
885,-1.5276897101816687
886,-2.379635941787206
887,-0.9465283524212642
888,-1.6189979378453911
889,-0.9030337722328659
890,-1.2535392083253114
891,-1.2468743237112299
892,-1.7300783173719403
893,-2.438494110708639
894,-1.6945149584042283
895,-1.3689130465601933
896,-1.3540183996478716
897,-2.43956212615533
898,-1.7987487669470474
899,-1.093796645164969
900,-2.2088336756815887
901,-0.9879631468954717
902,-0.7753090102583322
903,-1.8878196360239725
904,-0.8726258901881534
905,-0.9938921484463501
906,-1.1944036281265806
907,-2.7876118845045346
908,-0.6051105607503469
909,-1.4370477222636147
910,-1.9858239663894428
911,-1.5250614015089055
912,-1.1039478846504749
913,-1.1219926218155634
914,-0.9766226734266027
915,-1.4891453679074067
916,-1.7411041058889647
917,-1.1694445842950303
918,-1.4718581600599565
919,-0.7868188943935763
920,-1.0590049649934412
921,-0.7781146278214676
922,-0.6409644363555014
923,-1.2459309630774484
924,-1.0905474069529202
925,-1.3002875679394328
926,-1.254441325460482
927,-1.1355859702279758
928,-1.6319585903811749
929,-0.8982822556662743
930,-1.6840537462425542
931,-1.0901375007526262
932,-1.3482539550030888
933,-1.5184457646226155
934,-0.8212907661022182
935,-0.8684834979798465
936,-2.0425151326068485
937,-1.5484202361567987
938,-1.7444262846787122
939,-1.4512420450708174
940,-1.0016550274999014
941,-0.8962513912202195
942,-1.656634105565361
943,-0.795917195712963
944,-1.612227012866216
945,-1.3707604232431572
946,-1.0327772665224413
947,-2.092798408222162
948,-2.3250452255833136
949,-1.7642728607720974
950,-1.3798599415685044
951,-1.9674396258956184
952,-1.2685233586339524
953,-0.9503547420745608
954,-1.889720224260494
955,-1.8890425729601728
956,-0.7372299118632448
957,-1.8153511842216337
958,-1.7820396821852638
959,-1.1762353946345458
960,-2.7931464367040904
961,-1.3008062811363976
962,-1.859260580985529
963,-1.6008402534517145
964,-2.496756708887928
965,-1.7388140768755782
966,-1.270697909684984
967,-1.1742697329704361
968,-1.2264461072607866
969,-1.2749813400926495
970,-2.1460252145450545
971,-1.8762142039847287
972,-1.2045625679091965
973,-1.3660137225631939
974,-0.9043823439110253
975,-1.5655957879021547
976,-1.2320257556007643
977,-0.9423877504822271
978,-1.2652364576098485
979,-1.729847353899214
980,-1.4569909977830937
981,-1.3351202230302128
982,-1.2241143578071267
983,-1.6869668935758142
984,-1.8779982602953984
985,-2.1084134168196327
986,-1.880035654354587
987,-1.9987723087285816
988,-2.2044478316354623
989,-1.330134083660554
990,-1.3200511411950127
991,-1.284830782573684
992,-0.9681245593953084
993,-1.3123247423709465
994,-1.2693422386809958
995,-1.7576590338336846
996,-2.2752205167373276
997,-1.443627404414139
998,-2.349505024434733
999,-0.716124451717381
1000,-1.2022197597804742
1001,-1.129676651500797
1002,-1.6582528596511987
1003,-1.4977051017154972
1004,-1.4292701743517455
1005,-2.4474072436330543
1006,-0.7542465009817091
1007,-0.6546591254151204
1008,-1.3303424220884206
1009,-2.1699807345136373
1010,-1.5163942367383125
1011,-1.5045502596106601
1012,-0.6796672898007421
1013,-1.6078833021274768
1014,-1.5395928908828227
1015,-0.9112542330187753
1016,-1.3816233889608163
1017,-1.289914718294048
1018,-0.7329635046593924
1019,-1.0251798584784193
1020,-1.799417879049703
1021,-1.295682049163574
1022,-1.593657076539235
1023,-1.3400421823234743
1024,-1.7037631357565788
1025,-0.7969828945840617
1026,-1.2635509626781405
1027,-1.9335625531426925
1028,-1.831099147159897
1029,-0.7775827159988503
1030,-1.5387409117045554
1031,-1.8572376190976714
1032,-1.0561342277354093
1033,-1.9075203450096536
1034,-1.2558169020201588
1035,-2.9098095596383726
1036,-2.124102863886394
1037,-1.3070425369400356
1038,-1.1748102405220637
1039,-1.467805149254468
1040,-1.0457571903289953
1041,-1.4269059637350272
1042,-1.681830042026981
1043,-2.1348640927527645
1044,-2.190467139547458
1045,-1.1704261016886501
1046,-1.198839525286205
1047,-1.0821324306532258
1048,-1.297766610549763
1049,-1.182566312719312
1050,-1.1217536006680002
1051,-1.5990421839923856
1052,-0.9243846986852376
1053,-1.4063118691609215
1054,-1.4336413603335068
1055,-2.080034100807357
1056,-1.414576056599474
1057,-1.1843576330925107
1058,-1.5509859588100643
1059,-0.9191172557786678
1060,-1.5650784972457041
1061,-1.6445568942268234
1062,-2.0110130094378524
1063,-1.6717990074765359
1064,-1.045816038706047
1065,-1.4046988430510543
1066,-1.016921519715644
1067,-2.1053566617127037
1068,-1.4844496354848082
1069,-1.3328048997900985
1070,-1.1244838989870365
1071,-1.3060814942236323
1072,-1.098126879520816
1073,-1.3493525854978548
1074,-1.1704385142382194
1075,-1.5745892466911788
1076,-1.407115274039204
1077,-0.8430758353698863
1078,-0.8852475794225211
1079,-2.15869982707845
1080,-1.8470647321602054
1081,-1.1280031508263972
1082,-1.548353647649112
1083,-1.4816869618630202
1084,-1.0023338155803456
1085,-1.6159010793192043
1086,-1.5701757488789827
1087,-0.8296608409187906
1088,-1.1787192559910002
1089,-1.6745407302595714
1090,-0.8121313923366644
1091,-1.582781856139972
1092,-1.7845077409182712
1093,-1.24236944994394
1094,-0.8843567402845183
1095,-1.0265331853595585
1096,-1.3449493171093443
1097,-1.2887759325566988
1098,-1.1991149398033105
1099,-1.3132666913611573
1100,-1.1128983039781875
1101,-1.319964469515326
1102,-2.3595820530896434
1103,-0.9345089609745778
1104,-1.5851405900778877
1105,-1.5924686421973449
1106,-1.8243872072732323
1107,-0.7068432905958607
1108,-2.6174570329253948
1109,-1.345227488665004
1110,-2.1996940747730354
1111,-1.0306907863367563
1112,-0.7485091486827848
1113,-1.3152351525250585
1114,-1.9744099482046336
1115,-1.6889565436106546
1116,-1.4612165691160535
1117,-0.811731897319618
1118,-1.8587723640125355
1119,-1.3064742806299163
1120,-1.7228327318592616
1121,-0.8484290572198925
1122,-1.5168867637472039
1123,-2.1242807504943806
1124,-2.0217284345490953
1125,-1.720265628076447
1126,-1.2762167770790411
1127,-2.0895106170510167
1128,-1.2670875535527555
1129,-1.6113447198091915
1130,-1.6548221866350379
1131,-1.645058757442391
1132,-1.645875167576679
1133,-0.8615030527253558
1134,-0.7810189104322579
1135,-1.1215974825926336
1136,-0.6462874557341325
1137,-1.5326928236609356
1138,-1.3269502038310292
1139,-0.4715143762229444
1140,-0.8494826847722723
1141,-1.0759835625248562
1142,-2.325982691871401
1143,-1.736060429226044
1144,-1.2104909789511809
1145,-1.1873344894623943
1146,-1.119930884722214
1147,-1.3221825985173439
1148,-1.1805386954929138
1149,-0.6763663155932788
1150,-1.8480764752959766
1151,-1.2957337835643683
1152,-1.2585575814647492
1153,-1.9696109412430352
1154,-1.6410273557420265
1155,-1.2196973700260885
1156,-1.2447820876525721
1157,-1.6448546915584452
1158,-1.0431064692464487
1159,-2.2517930216170146
1160,-1.7000627486350877
1161,-0.9297405870797291
1162,-1.0652549041719805
1163,-2.4473589169491845
1164,-1.4254836893013307
1165,-2.2187473744450537
