date,time,air1,clotheswasher1,dishwasher1,dryg1,furnace1,grid,microwave1,oven1,refrigerator1,solar,demand,difference
2018-01-01,12:15:00,0.001,0.0,0.002,0.002,0.165,-0.522,0.003,0.006,0.246,1.271,0.42500000000000004,0.32399999999999984
2018-01-01,12:30:00,0.002,0.0,0.002,0.002,0.01,-0.544,0.003,0.007,0.333,1.202,0.35900000000000004,0.2989999999999999
2018-01-01,12:45:00,0.001,0.0,0.001,0.002,0.01,-0.519,0.003,0.007,0.14,0.983,0.16400000000000003,0.29999999999999993
2018-01-01,13:00:00,0.001,0.0,0.001,0.002,0.01,-0.346,0.003,0.007,0.126,0.794,0.15000000000000002,0.29800000000000004
2018-01-01,13:15:00,0.001,0.0,0.0,0.002,0.01,-0.46,0.003,0.008,0.062,0.848,0.08600000000000001,0.30199999999999994
2018-01-01,13:30:00,0.001,0.0,0.0,0.002,0.01,-0.503,0.003,0.008,0.003,0.832,0.027,0.30199999999999994
2018-01-01,13:45:00,0.001,0.0,0.0,0.002,0.06,-0.355,0.003,0.008,0.003,0.778,0.077,0.34600000000000003
2018-01-01,14:00:00,0.001,0.0,0.001,0.002,0.139,-0.224,0.003,0.007,0.111,0.81,0.264,0.32200000000000006
2018-01-01,14:15:00,0.0,0.0,0.002,0.002,0.187,-0.053,0.003,0.006,0.129,0.705,0.329,0.3229999999999999
2018-01-01,14:30:00,0.0,0.0,0.001,0.002,0.155,-0.116,0.003,0.007,0.021,0.629,0.189,0.324
2018-01-01,14:45:00,0.001,0.0,0.001,0.002,0.144,-0.279,0.003,0.007,0.004,0.771,0.162,0.32999999999999996
2018-01-01,15:00:00,-0.001,0.001,-0.001,0.002,0.166,0.856,0.68,0.006,0.092,0.552,0.9450000000000001,0.46299999999999986
2018-01-01,15:15:00,-0.002,0.001,0.002,0.001,0.183,0.675,0.003,0.006,0.104,0.326,0.298,0.7030000000000001
2018-01-01,15:30:00,-0.001,0.001,0.001,0.0,0.211,0.696,0.003,0.006,0.003,0.39,0.224,0.8619999999999999
2018-01-01,15:45:00,-0.002,0.001,0.001,0.0,0.234,0.77,0.003,0.006,0.003,0.328,0.24600000000000002,0.8520000000000001
2018-01-01,16:00:00,-0.002,0.001,0.002,-0.001,0.268,1.129,0.003,0.006,0.013,0.342,0.29000000000000004,1.181
2018-01-01,16:15:00,-0.002,0.001,0.002,0.0,0.229,0.973,0.003,0.005,0.133,0.31,0.371,0.9119999999999999
2018-01-01,16:30:00,-0.002,0.001,0.002,0.0,0.212,0.913,0.074,0.006,0.132,0.414,0.425,0.9019999999999999
2018-01-01,16:45:00,-0.003,0.001,0.002,0.0,0.243,1.149,0.003,0.006,0.056,0.084,0.308,0.925
2018-01-01,17:00:00,-0.004,0.001,0.002,0.0,0.288,1.281,0.003,0.005,0.004,0.013,0.299,0.9949999999999999
2018-01-01,17:15:00,-0.002,0.001,0.001,0.001,0.246,0.836,0.003,0.006,0.004,-0.019,0.26,0.5569999999999999
2018-01-01,17:30:00,-0.002,0.001,0.002,0.001,0.302,0.55,0.003,0.006,0.082,-0.026,0.395,0.129
2018-01-01,17:45:00,-0.002,0.001,0.002,0.001,0.379,0.628,0.003,0.006,0.084,-0.025,0.47400000000000003,0.12899999999999995
2018-01-02,00:00:00,-0.001,0.001,0.001,0.001,0.211,0.355,0.003,0.007,0.003,-0.005,0.226,0.12399999999999997
2018-01-02,00:15:00,-0.001,0.001,0.001,0.001,0.191,0.341,0.003,0.007,0.008,-0.005,0.21100000000000002,0.125
2018-01-02,00:30:00,-0.002,0.001,0.002,0.001,0.302,0.564,0.003,0.006,0.125,-0.004,0.438,0.12199999999999994
2018-01-02,00:45:00,-0.001,0.001,0.002,0.001,0.393,0.533,0.003,0.007,0.005,-0.005,0.41100000000000003,0.11699999999999999
2018-01-02,01:00:00,-0.002,0.001,0.003,0.001,0.577,0.709,0.003,0.006,0.004,-0.004,0.593,0.11199999999999999
2018-01-02,01:15:00,-0.002,0.001,0.002,0.001,0.458,0.595,0.003,0.006,0.004,-0.004,0.47300000000000003,0.11799999999999994
2018-01-02,01:30:00,-0.002,0.001,0.002,0.001,0.427,0.654,0.003,0.006,0.094,-0.004,0.532,0.118
2018-01-02,01:45:00,-0.002,0.001,0.001,0.001,0.28,0.548,0.003,0.006,0.131,-0.005,0.42100000000000004,0.122
2018-01-02,02:00:00,-0.001,0.001,0.001,0.001,0.141,0.304,0.003,0.007,0.02,-0.005,0.173,0.126
2018-01-02,02:15:00,-0.001,0.001,0.002,0.001,0.348,0.489,0.003,0.007,0.004,-0.005,0.365,0.119
2018-01-02,02:30:00,-0.001,0.001,0.002,0.001,0.369,0.51,0.003,0.007,0.004,-0.005,0.386,0.119
2018-01-02,02:45:00,-0.001,0.001,0.001,0.001,0.154,0.388,0.003,0.007,0.091,-0.005,0.257,0.126
2018-01-02,03:00:00,-0.001,0.001,0.001,0.001,0.252,0.432,0.003,0.007,0.04,-0.005,0.304,0.123
2018-01-02,03:15:00,-0.001,0.001,0.002,0.001,0.38,0.52,0.003,0.007,0.004,-0.005,0.397,0.118
2018-01-02,03:30:00,-0.001,0.001,0.001,0.001,0.233,0.377,0.003,0.007,0.003,-0.005,0.24800000000000003,0.12399999999999997
2018-01-02,03:45:00,-0.001,0.001,0.001,0.001,0.16,0.358,0.003,0.007,0.057,-0.005,0.229,0.12399999999999997
2018-01-02,04:00:00,-0.002,0.001,0.002,0.001,0.378,0.644,0.003,0.006,0.133,-0.004,0.522,0.118
2018-01-02,04:15:00,-0.001,0.001,0.002,0.001,0.325,0.512,0.003,0.007,0.049,-0.005,0.387,0.12
2018-01-02,04:30:00,0.0,0.001,0.001,0.001,0.145,0.292,0.003,0.008,0.003,-0.005,0.162,0.12499999999999997
2018-01-02,04:45:00,-0.001,0.001,0.002,0.001,0.299,0.443,0.003,0.007,0.004,-0.005,0.316,0.122
2018-01-02,05:00:00,-0.002,0.001,0.002,0.001,0.421,0.615,0.003,0.006,0.059,-0.004,0.491,0.12
